t1	t2	type
The key point about the British Empire is not necessarily that brutality does not happen but when it does	when news first came of the horrific massacre of Mau Mau prisoners in Kenya. Wide swathes of British public opinion and the media and the Prime Minister and most of the Cabinet were horrified and disgusted then, not now, then	0
The key point about the British Empire is not necessarily that brutality does not happen but when it does	you often have public inquiries and open investigations	0
you often have public inquiries and open investigations	decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality	0
By the 50s, the Empire is going	they are effectively trying to hand over to some kind of stable rule	0
in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.	relative to many other countries surely it's an exemplar of inclusivity	0
whilst the African Americans are socially segregated from their American cousins, they are economically integrated	MP raises an interesting point	0
the extent to which an African American is prepared to stand by the flag is far in advance than any black British individual	that hints to the kind of schism around citizenship that we have here in the United Kingdom	0
relative to many other countries surely it's an exemplar of inclusivity	Britain is non-inclusive	1
whilst the African Americans are socially segregated from their American cousins, they are economically integrated	in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.	1
It's not a case of just legality	that hints to the kind of schism around citizenship that we have here in the United Kingdom	0
it's not racism	when black people say, for example, Jews control the banks, that's prejudice	0
It's racism	it's not racism	1
when black people say, for example, Jews control the banks, that's prejudice	people who are powerless cannot be prejudiced	1
That's racially offensive	when black people say, for example, Jews control the banks, that's prejudice	1
you can be convicted of being racially offensive without being a racist	It's racism	1
you can be convicted of being racially offensive without being a racist	Margaret Thatcher's daughter made some inappropriate comments	0
you can be convicted of being racially offensive without being a racist	JA has heard lots of judgments of people being found guilty of uttering racially offensive remarks without themselves being what JA would call a card carrying racist	0
They did see this as being like under the Third Reich in effect.	you are stretching your definition in order to make the British Empire fit into that?	0
the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau	the context is colonialism	1
the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau	Esther is being selective about her context	0
That's not what Esther stated	that's not correct	0
We're looking at this case in a multiple ways	That's not what Esther stated	0
It's only for Esther colonialism that is on trial here, not the behaviour of the insurgents at the time	Esther is being selective about her context	0
that's not correct	It's only for Esther colonialism that is on trial here, not the behaviour of the insurgents at the time	1
It's a specific case	We're looking at this case in a multiple ways	0
We're looking at this case in a multiple ways	Esther was also giving wider views around the importance of this case	0
we have to look at it in that way	Esther was also giving wider views around the importance of this case	2
the wider context is the colonial dispossession	That's not what Esther stated	0
the wider context is the colonial dispossession	there were insurgents as Melanie would call them	0
we would say freedom fighters	there were insurgents as Melanie would call them	2
the wider context is the colonial dispossession	they did what they had to do in order to maintain a liberation struggle	0
We have to go to the roots of this problem	the guilt must be on the side of the colonial power	1
We don't look at it halfway through	We have to go to the roots of this problem	0
For some people it is	it's a symbolic case, to open a wider door	2
it means that we are forced to engage in this conversation	it is actually very significant	0
we are forced to do the analysis	it is actually very significant	0
it was in fact typical	It was a ghastly aberration	1
it was the product of a policy that was unsustainable that could only be pursued by increasing repression	it was in fact typical	0
some of us would argue the case doesn't go far enough	even if this hearing itself or the damages claims by these three individuals are concerned, it should / should not be the occasion for examining the colonial legacy	0
the colonial context is absent	some of us would argue the case doesn't go far enough	0
This took place in the colonial era	there were atrocities on both sides, including in this big group of people that Esther has just referred to	0
This was a war of liberation	Esther would look at the context	0
it was an unjust war that was being levelled against the Africans	This was a war of liberation	0
Esther would look at the context	Esther would not be also happy for them to face trial for atrocities committed against white settlers and British service personnel at the time	2
rich countries in the West occupying countries of other people and imposing their rule on them and generally speaking extracting various forms of wealth from those countries to benefit the host country	colonialism is xxx	2
in order to finance the trade and the extraction of resource in African countries, infrastructure was built and there was a degree of benevolence	JA makes that parallel	0
The trains ran on crime	the Jewish community was shipped to Auschwitz	0
JA makes that parallel	the Jewish community was shipped to Auschwitz	2
it was a freedom struggle	we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands	0
that takes ES xxx	we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands	1
we cannot take away the fact that these were people who were simply fighting to reclaim their lost lands	I'm not saying that	2
In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation	that takes ES xxx	2
it was a struggle of liberation	In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation	2
it was a struggle of liberation	these were not terrorists	0
that was a label that was given to them	these were not terrorists	0
when you classify people as terrorists then you are seeking to dehumanise them	it was a label that was very loaded	0
there are not very specific perpetrators	the present government of Britain should be held responsible for responsibility for the these atrocities of its predecessor administration many decades ago	0
we cannot for legal reasons go into sort of identifying individuals	the current government of today should be held liable	0
there is an outstanding crime that has been committed	the current government of today should be held liable	0
there is no statute of limitations	the current government of today should be held liable	0
there were crimes against humanity	the current government of today should be held liable	0
there is no statute of limitations	it would be totally different if the survivors had all died	0
They can be racially offensive	black people can't be racist in the United Kingdom context	0
They can be prejudiced against white people	black people can't be racist in the United Kingdom context	1
that gives it its specific meaning	it is imbued with geography, history and culture	0
that is / is not part of JA's case	It is / is not JA's view that the history of colonialism, maybe the history of slavery, is responsible for racism in Britain	2
in order to effect racism, you really need, in the proper sense of the word, you need prejudice and power	They can be prejudiced against white people	1
If you're talking about internationally, then racism is not just a dictionary definition	There is no universal definition in relation to its application  	0
it could not possibly follow from this very deleterious account of colonialism that JA has just given	JA wants a moment that would produce more inclusivity	1
One just seems to take you into a way of feeling worse about everything	it could not possibly follow from this very deleterious account of colonialism that JA has just given	0
One just seems to take you into a way of feeling worse about everything	that is not going to make young black Britons feel better	0
We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime	that is not going to make young black Britons feel better	1
We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime	the legacy of colonialism for white people is white privilege in the modern day setting.	0
they are due reparation	that probably isn't enough for JA	0
JA does not think this particular court case might provide this Mdeba moment	In a sentence, JA thinks / does not think this particular court case might provide this Mdeba moment	2
Acknowledgment, in a Christian sense	we can do xxx to make JA happy	2
Enoch Powell acknowledged the maltreatment of the Mau Mau in a stirring speech	Acknowledgment, in a Christian sense	1
Thousands were made landless, homeless and reduced to absolute poverty	they are due reparation	0
Thousands were made landless, homeless and reduced to absolute poverty	acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom	0
acknowledgment and reparation for that is the minimum moral requisite position that is required from the United Kingdom	if Britain thinks that it can move on to an inclusive citizenship without addressing these historical relics of colonialism that continue to plague contemporary debates about citizenship then frankly it's fooling itself	0
it will be an important opportunity for the individuals to make their case	JA does not think this particular court case might provide this Mdeba moment	0
If there is an element of retrospective moral judgments, there are no problem with that	What is going on here is xxx	2
It seems to be a mixture of arrogance and absurdity	There is a problem with judging the past by our values	0
There is a problem with judging the past by our values	If there is an element of retrospective moral judgments, there are no problem with that	1
There is no problem  here.	There is a problem with judging the past by our values	1
in almost any jurisdiction in the world it would be seen as a crime	the way they suffered was a crime	0
There are three people who it seems very likely suffered	There is no problem  here.	0
they suffered in the context of imprisonment possibly	There are three people who it seems very likely suffered	0
they have the opportunity now to try to seek justice	there's nothing wrong with this	0
It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.	it is / is not Lee's position that the current British Government has a lot more to apologize for in terms of colonialism than the ill-treatment of some now elderly Kenyans	0
as we all know, the moral case is absolutely unanswerable	and we ought to do the right thing	0
I think the relics of colonialism, racism and the current dystopia around in relation to people groping focus a kind of inclusive British citizenship that relieves them of the guilt of their - of the past, and opens up a vista of an inclusive future, actually relies on, to some extent, Britain having a truth and reconciliation moment,	It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.	0
as we all know, the moral case is absolutely unanswerable	it is / is not Lee's position that the current British Government has a lot more to apologize for in terms of colonialism than the ill-treatment of some now elderly Kenyans	0
there's no statute of limitations for murder	ES has just muddled up civil and criminal cases	0
those liabilities actually transferred back to the British Government	They do bear responsibility.	0
that would not be the British Government's view	those liabilities actually transferred back to the British Government	2
that would be the view of the claimants and their representatives. And also the current government of Kenya.	those liabilities actually transferred back to the British Government	0
that isn't a source of injustice	that is a source of injustice	1
ES has just muddled up civil and criminal cases	they were treated in an appalling way	2
if there are specific perpetrators, if you have a tyrant, if you have a group of military officers who are accused of committing a war crime, then for sure, there should be no statute of limitations in prosecuting them.	there's no statute of limitations for murder	2
You have a specific perpetrator	there's no statute of limitations for murder	0
here you don't have specific perpetrators.	ES has just muddled up civil and criminal cases	0
What's happening in this case is not the prosecution of a crime	ES has just muddled up civil and criminal cases	0
it is a claim for compensation against the present government, which had no responsibility for what happened	What's happening in this case is not the prosecution of a crime	0
it is a claim for compensation against the present government, which had no responsibility for what happened	that is a source of injustice	0
They do bear responsibility.	that isn't a source of injustice	0
That's not good enough	The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.	1
The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.	there is both a pragmatic and a historic justification	0
these people are alive	you have to draw lines	2
They can't go back and dig up Macmillan	The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.	0
By the 50s, the Empire is going	they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress	0
the Hola circumstances and the shock did not change the public consciousness about ourselves as an imperial power,and realised it was morally unsustainable from then onwards	they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress	2
The are other instances that bring up questions about imperial rule	the Hola circumstances and the shock did not change the public consciousness about ourselves as an imperial power,and realised it was morally unsustainable from then onwards	0
The are other instances that bring up questions about imperial rule	key thing in British society is the horror at the violence of the Mau Mau which is profoundly shocking	0
It wasn't that distant in moral terms from where we are now	in this particular case, what are crimes now were very much crimes then	0
that is a good case and something AM does take very seriously	That is interesting	0
we do look back to the fact that people were making stirring speeches about it at the time	that is a good case and something AM does take very seriously	0
That's what drove it	that plays against Matthew's point	1
that's MT's opinion	That's what drove it	1
This is a very interesting point.	it would not be okay under these circumstances for, say, a holocaust victim to take a civil damages case against Angela Merkel	1
You do get reparations in Germany	This is a very interesting point.	0
When you see these cases, there is still a strong feeling of saying, it wasn't so bad after all	that's a hang up Britain has got	0
It was in essence a tyranny	Nothing good happened under Nazism	0
Lawrence James doesn't really like this case	what was interesting tonight is when you hear Lawrence James who was the second witness	0
Lawrence James wants to muddy the waters	what was interesting tonight is when you hear Lawrence James who was the second witness	0
The difference is that this was an aberration	The reason we need these case assist because of that ambiguity	1
MP wouldn't go as far as Lawrence James went	nothing horrible was done under the Empire	1
a lot of bad things were done under the Empire	MP wouldn't go as far as Lawrence James went	0
The Empire brought a lot of good things	bad things done under the Empire were an aberration	0
Nothing good happened under Nazism	that's the great difference between the Empire and Nazism	0
It was in essence a tyranny	the country was responsible for what happened in a way that Britain is not responsible, collectively, in the same way, for what happened to these people.	0
The judiciary have ruled they have the right to make this case	they are proceeding with it	0
we have xxx much legal responsibility for the actions of the past	in terms of the case of these individuals they have a perfect right to pursue the claim that they are making and it is reasonable for the British state, even though today's politicians weren't implicated in this, for the British state to be answerable of the actions of the British state in the past, in this specific case	2
Mr Cameron does not have to answer for the decisions of, say, Lord Palmerston	we have xxx much legal responsibility for the actions of the past	2
it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state	Mr Cameron does not have to answer for the decisions of, say, Lord Palmerston	1
they have nowhere to go	it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state	0
there was horror at Mau Mau.	The horror that was going round there, which nearly cost Macmillan his election, was horror at the way the British Army had behaved, not at Mau Mau.	1
the situation in Kenya was a bloody dirty war	there was horror at Mau Mau.	0
it's not brutal enough	it's a situation where, six years before the start of the Kenya emergency, the British Army in India is being hammered by the nationalists and the Muslims	0
the fireman has used too much water to quench the fire	we're criticising the fireman	0
the fireman has used too much water to quench the fire	these judgments are very difficult to make	1
in the context of what we're talking about tonight the strange phenomenon then occurred, where the British went in denial and have been in denial ever since.	these judgments are very difficult to make	1
atrocities should be - war crimes or atrocities perpetrated against civilians should be - justice should be done regardless of limit of time	the first and third witnesses didn't seem to draw much a distinction between the British Empire and the Third Reich.	0
we don't have the perpetrators in court	we are not prosecuting crimes that were committed against these unfortunate people	0
they are seeking civilian reparation	we don't have the perpetrators in court	0
there was horror at Mau Mau.	We have to go to the roots of this problem	3
Thousands were made landless, homeless and reduced to absolute poverty	the present government of Britain should be held responsible for responsibility for the these atrocities of its predecessor administration many decades ago	3
there was xxx much sympathy generally around the table for Lee Jasper's view that some form of Mdeba moment, as he put it, reconciliation or acknowledgment of the sins of the past is something that we desperately require to bring about an inclusive multi-racial community	Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	3
that is a source of injustice	it is actually very significant	3
in the context of what we're talking about tonight the strange phenomenon then occurred, where the British went in denial and have been in denial ever since.	It's racism	3
there is an outstanding crime that has been committed	in terms of the case of these individuals they have a perfect right to pursue the claim that they are making and it is reasonable for the British state, even though today's politicians weren't implicated in this, for the British state to be answerable of the actions of the British state in the past, in this specific case	3
The Empire brought a lot of good things	we do not have got a lot to apologize for	3
there was horror at Mau Mau.	they are due reparation	3
Esther was also giving wider views around the importance of this case	they take us to questions we have still got to resolve.	3
Esther was also giving wider views around the importance of this case	It was a ghastly aberration	3
relative to many other countries surely it's an exemplar of inclusivity	it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state	3
It was in essence a tyranny	they represent a class of people	3
Esther is being selective about her context	this is a live debate	3
Acknowledgment, in a Christian sense	they have nowhere to go	3
That's a caricature	it is a good point Clifford makes	3
If you're talking about internationally, then racism is not just a dictionary definition	It was a ghastly aberration	3
It was in essence a tyranny	It's only for Esther colonialism that is on trial here, not the behaviour of the insurgents at the time	3
AM is not in the same way	there should be a window of apology and getting back to common sense.	3
they did what they had to do in order to maintain a liberation struggle	They did see this as being like under the Third Reich in effect.	3
if there are specific perpetrators, if you have a tyrant, if you have a group of military officers who are accused of committing a war crime, then for sure, there should be no statute of limitations in prosecuting them.	I think the relics of colonialism, racism and the current dystopia around in relation to people groping focus a kind of inclusive British citizenship that relieves them of the guilt of their - of the past, and opens up a vista of an inclusive future, actually relies on, to some extent, Britain having a truth and reconciliation moment,	3
Under the national curriculum, we were told the Empire was bad.	if there are specific perpetrators, if you have a tyrant, if you have a group of military officers who are accused of committing a war crime, then for sure, there should be no statute of limitations in prosecuting them.	3
they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress	We have to go to the roots of this problem	3
The reason we need these case assist because of that ambiguity	CL personally as an English person feelS ashamed about the way the British behaved in these circumstances in Africa at that time	3
there was horror at Mau Mau.	that is a source of injustice	3
that is a source of injustice	people do not think that	3
it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	and therefore the only way forward was for Britain to withdraw	3
it was a label that was very loaded	that was a label that was given to them	3
There is no problem  here.	ES has just muddled up civil and criminal cases	3
If you're talking about internationally, then racism is not just a dictionary definition	Lawrence James doesn't really like this case	3
That's a caricature	that's MT's opinion	3
Britain is non-inclusive	you often have public inquiries and open investigations	3
You have a specific perpetrator	you can be convicted of being racially offensive without being a racist	3
moral justice lies xxx when we look back at our imperial past	the country was responsible for what happened in a way that Britain is not responsible, collectively, in the same way, for what happened to these people.	3
if Britain thinks that it can move on to an inclusive citizenship without addressing these historical relics of colonialism that continue to plague contemporary debates about citizenship then frankly it's fooling itself	You do get reparations in Germany	3
That's what drove it	it is actually very significant	3
that isn't a source of injustice	we don't have the perpetrators in court	3
we do look back to the fact that people were making stirring speeches about it at the time	When you see these cases, there is still a strong feeling of saying, it wasn't so bad after all	3
we cannot for legal reasons go into sort of identifying individuals	It wasn't that distant in moral terms from where we are now	3
there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism	these are elderly victims	3
it speaks well for the case that is being brought at the moment	The difference is that this was an aberration	3
That's not what Esther stated	nothing horrible was done under the Empire	3
There are problems in the education system, problems of underperformance, problems in the employment market	It's only for Esther colonialism that is on trial here, not the behaviour of the insurgents at the time	3
a legal remedy exists	the legacy of colonialism for white people is white privilege in the modern day setting.	3
here you don't have specific perpetrators.	AM is not in the same way	3
that would be the view of the claimants and their representatives. And also the current government of Kenya.	Margaret Thatcher's daughter made some inappropriate comments	3
it speaks well for the case that is being brought at the moment	that probably isn't enough for JA	3
when black people say, for example, Jews control the banks, that's prejudice	nothing horrible was done under the Empire	3
When you see these cases, there is still a strong feeling of saying, it wasn't so bad after all	it's a symbolic case, to open a wider door	3
JA wants a moment that would produce more inclusivity	there were crimes against humanity	3
NL thinks / does not think we have got a lot to apologize for	there should be a window of apology and getting back to common sense.	3
MT was told it was generally speaking a good thing	Thousands were made landless, homeless and reduced to absolute poverty	3
in almost any jurisdiction in the world it would be seen as a crime	it is actually very significant	3
that was a label that was given to them	there were crimes against humanity	3
they did what they had to do in order to maintain a liberation struggle	decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality	3
that's the great difference between the Empire and Nazism	it was a label that was very loaded	3
whilst the African Americans are socially segregated from their American cousins, they are economically integrated	black people can't be racist in the United Kingdom context	3
here you don't have specific perpetrators.	there should be a window of apology and getting back to common sense.	3
we are quite hung up about this	It is / is not JA's view that the history of colonialism, maybe the history of slavery, is responsible for racism in Britain	3
that's not correct	I think the relics of colonialism, racism and the current dystopia around in relation to people groping focus a kind of inclusive British citizenship that relieves them of the guilt of their - of the past, and opens up a vista of an inclusive future, actually relies on, to some extent, Britain having a truth and reconciliation moment,	3
they take us to questions we have still got to resolve.	we would say freedom fighters	3
there's no statute of limitations for murder	Justice would be multi-facetted	3
theres' nothing wrong with doing the British thing, owning up and paying up	the present government of Britain should be held responsible for responsibility for the these atrocities of its predecessor administration many decades ago	3
That's racially offensive	We are here on Mandela's birthday and his leadership in relation to South Africa was one in which he sought to explore these issues, reconcile them, bring them to account, to apologise, to effect reparation where necessary, to acknowledge the crime	3
it was an unjust war that was being levelled against the Africans	Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	3
When you see these cases, there is still a strong feeling of saying, it wasn't so bad after all	and therefore the only way forward was for Britain to withdraw	3
there were crimes against humanity	We have to go to the roots of this problem	3
they have nowhere to go	Esther was also giving wider views around the importance of this case	3
What is going on here is xxx	if it's such an exploitative thing, there should not be outrage	3
We have to go to the roots of this problem	we do not have got a lot to apologize for	3
Thousands were made landless, homeless and reduced to absolute poverty	they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress	3
there is an outstanding crime that has been committed	that gives it its specific meaning	3
the colonial context is absent	this is a live debate	3
I think the relics of colonialism, racism and the current dystopia around in relation to people groping focus a kind of inclusive British citizenship that relieves them of the guilt of their - of the past, and opens up a vista of an inclusive future, actually relies on, to some extent, Britain having a truth and reconciliation moment,	For some people it is	3
they are due reparation	it very much depends which side you take it,	3
It wasn't that distant in moral terms from where we are now	the way they suffered was a crime	3
This is not all morally blameworthy	that plays against Matthew's point	3
there was xxx much sympathy generally around the table for Lee Jasper's view that some form of Mdeba moment, as he put it, reconciliation or acknowledgment of the sins of the past is something that we desperately require to bring about an inclusive multi-racial community	The key point about the British Empire is not necessarily that brutality does not happen but when it does	3
It's not a case of just legality	there should be a window of apology and getting back to common sense.	3
the context is colonialism	it is a good point Clifford makes	3
we are quite hung up about this	the context is colonialism	3
in almost any jurisdiction in the world it would be seen as a crime	The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.	3
It seems to be a mixture of arrogance and absurdity	they did what they had to do in order to maintain a liberation struggle	3
They can be racially offensive	ES has just muddled up civil and criminal cases	3
these people are alive	bad things done under the Empire were an aberration	3
black people can't be racist in the United Kingdom context	people who are powerless cannot be prejudiced	3
The trains ran on crime	Britain is non-inclusive	3
there are many other survivors who do not currently have access to justice	CL would feel better if the people who had suffered that injustice were compensated	3
it's not brutal enough	JA does not think this particular court case might provide this Mdeba moment	3
what was interesting tonight is when you hear Lawrence James who was the second witness	those liabilities actually transferred back to the British Government	3
the situation in Kenya was a bloody dirty war	these are elderly victims	3
they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress	Mr Cameron does not have to answer for the decisions of, say, Lord Palmerston	3
That is interesting	in almost any jurisdiction in the world it would be seen as a crime	3
if there are specific perpetrators, if you have a tyrant, if you have a group of military officers who are accused of committing a war crime, then for sure, there should be no statute of limitations in prosecuting them.	That's not what Esther stated	3
nothing horrible was done under the Empire	it's not brutal enough	3
there is an outstanding crime that has been committed	We don't look at it halfway through	3
it very much depends which side you take it,	I'm not saying that	3
it is a claim for compensation against the present government, which had no responsibility for what happened	Britain is non-inclusive	3
It is / is not JA's view that the history of colonialism, maybe the history of slavery, is responsible for racism in Britain	JA does not think this particular court case might provide this Mdeba moment	3
these were not terrorists	That's not good enough	3
these were not terrorists	moral justice lies xxx when we look back at our imperial past	3
it was a freedom struggle	They do bear responsibility.	3
they should be tried	in this particular case, what are crimes now were very much crimes then	3
the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau	that is / is not part of JA's case	3
the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau	it will be an important opportunity for the individuals to make their case	3
that plays against Matthew's point	that probably isn't enough for JA	3
They can be prejudiced against white people	we have xxx much legal responsibility for the actions of the past	3
JA has heard lots of judgments of people being found guilty of uttering racially offensive remarks without themselves being what JA would call a card carrying racist	They did see this as being like under the Third Reich in effect.	3
it is a good point Clifford makes	This took place in the colonial era	3
they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress	that would not be the British Government's view	3
In terms of moral responsibility then it, is pretty much anything allowed to them because it was a struggle of liberation	it's not racism	3
and therefore the only way forward was for Britain to withdraw	That's not what Esther stated	3
as we all know, the moral case is absolutely unanswerable	This took place in the colonial era	3
the first and third witnesses didn't seem to draw much a distinction between the British Empire and the Third Reich.	they did what they had to do in order to maintain a liberation struggle	3
There are three people who it seems very likely suffered	it is a claim for compensation against the present government, which had no responsibility for what happened	3
they take us to questions we have still got to resolve.	the first and third witnesses didn't seem to draw much a distinction between the British Empire and the Third Reich.	3
that is a good case and something AM does take very seriously	the legacy of colonialism for white people is white privilege in the modern day setting.	3
justice would look like xxx	here you don't have specific perpetrators.	3
there is both a pragmatic and a historic justification	It was a ghastly aberration	3
It was in essence a tyranny	you can be convicted of being racially offensive without being a racist	3
MP raises an interesting point	if it's an emotional thing to do with blame and guilt, CL personally feels dishonoured by what was done in his name	3
there are not very specific perpetrators	when news first came of the horrific massacre of Mau Mau prisoners in Kenya. Wide swathes of British public opinion and the media and the Prime Minister and most of the Cabinet were horrified and disgusted then, not now, then	3
it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	If there is an element of retrospective moral judgments, there are no problem with that	3
that is not going to make young black Britons feel better	there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism	3
It was in essence a tyranny	there are many other survivors who do not currently have access to justice	3
you are stretching your definition in order to make the British Empire fit into that?	Esther would look at the context	3
it's not racism	the wider context is the colonial dispossession	3
you have to draw lines	Esther would not be also happy for them to face trial for atrocities committed against white settlers and British service personnel at the time	3
it is reasonable to argue that given what they went through, as the closest they can get to the people who perpetrated this is the British state, indeed the state benefitted from colonialism in a variety of ways, it's reasonable that they should seek recompense from the British state	there were insurgents as Melanie would call them	3
it's not brutal enough	in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.	3
Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault	There are three people who it seems very likely suffered	3
that is a source of injustice	it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state	3
they are proceeding with it	It was a ghastly aberration	3
The are other instances that bring up questions about imperial rule	For decades, our children have been taught nothing other than the Empire was uniquely dreadful	3
the government has acknowledged that they were ill treated in court	they are proceeding with it	3
The Empire brought a lot of good things	It wasn't that distant in moral terms from where we are now	3
there were atrocities on both sides, including in this big group of people that Esther has just referred to	there were crimes against humanity	3
