t1	t2	type
a young person decides to take out a mortgage, which is taking out a massive debt, so that they don’t have to be dependent on their parents, or don’t have to be maybe dependent on a council house. It’s a sign of independence.	it’s (to get in debt) quite morally neutral.	0
the problems we have is when debt gets out of control.	it’s (to get in debt) quite morally neutral.	2
When people either knowingly, or unknowingly, get into a position where they simply cannot service the debt. And that’s where the problems start arising	the problems we have is when debt gets out of control.	2
We’re not talking of single figures	we’re talking about vastly enormous interest rates	0
they’re very short-term loans	We’re talking hundreds, if not thousands, of per cent	0
if you borrowed £200 from me, and in 30 days time you pay back £250, the interest rate on that is 1,413.01%	they’re very short-term loans	0
the fact is, if living standards aren’t going up what you do is you let people borrow money	that also though goes back to the state of the economy	0
it keeps them happy	the fact is, if living standards aren’t going up what you do is you let people borrow money	0
Human beings are not very good at the long-term	the dismantling of those social norms, and those laws, have made us vulnerable	0
the fundamentals of the economy aren’t generating what you want	the fact is, if living standards aren’t going up what you do is you let people borrow money	0
as a society we had created a set of social norms and values which protected us from our innate short-termism	that also though goes back to the state of the economy	0
Human beings are not very good at the long-term	as a society we had created a set of social norms and values which protected us from our innate short-termism	0
In general, society does	xxx is who suffers most from the lack of moral hazard, the perceived lack of moral hazard	2
society benefits/ society suffers	In general, society does	2
The government comes and bails me out	what happens under our current system of guarantees is if I lend money to a bank, which then lends it on recklessly, I don’t lose money when the bank fails	0
They're average people on the whole	taxpayers are pretty broad based	0
the people who are doing the lending, and doing the borrowing, are in receipt of a tax funded subsidy for that activity	we have an excessive amount of lending	0
If I lend you money, I'm taking a risk	xxx is how in a different system the poor would not get the blame and is how they would not come off worse	2
The people who lose money are the taxpayers	taxpayers are pretty broad based	0
taxpayers are pretty broad based	this cost is forced onto them	0
That is the source of the subsidy in the lending world, in banking	we have an excessive amount of lending	0
this is the moral maze	Claire's trying to just avoid saying that saving is moral	0
they will take no responsibility for society	there are people who save	0
They’re stingy, not everybody is stingy	they will take no responsibility for society	0
entrepreneurs could get the credit	you could say that at the moment one of the problems is that there’s not enough credit being released creatively	0
The problem is that so much debt has been acquired that has gone towards non-productive usage	you could say that at the moment one of the problems is that there’s not enough credit being released creatively	0
you can’t say saving is morally good necessarily	Claire's trying to just avoid saying that saving is moral	2
We had a boom that was fuelled by government spending and by debt, too much of which did not go to productive uses	The problem is that so much debt has been acquired that has gone towards non-productive usage	0
We had a boom that was fuelled by government spending and by debt, too much of which did not go to productive uses	While we were enjoying the benefits of the boom, in the first decade of this century, manufacturing output was declining by 25%	0
very often they do have responsibility for what they borrow	people or nations have responsibility for what they borrow	2
that’s within a much wider social context, wherein those individual decisions are mediated	very often they do have responsibility for what they borrow	0
the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals	the reason that so many people have defaulted on their mortgages is a result of tens of thousands of random decisions by individuals?	1
that’s within a much wider social context, wherein those individual decisions are mediated	the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals	0
it’s to do with credit liberalisation in the United States.	the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals	0
it’s to do with credit liberalisation in the United States.	And, in turn, the credit liberalisation was fuelled as a specific economic policy to paper over the cracks of inequality, as a result of other economic policies	0
some of them had a whale of a time	it was something like 16% of sub-prime borrowers didn’t even make a first payment	0
They do	when ND comes up with this line about sub-prime debt, that this was economic policy, to push loans onto people who couldn’t afford them, the people actually accepting those loans have / have no personal responsibility of their own	2
they are vulnerable	they're being misled	0
they are on the whole, probably not PhDs in economics	they're being misled	0
some of them had a whale of a time	they're being misled	1
Only a desperate person would agree to pay the sort of exorbitant interest rates that are applied by the people JL represents	that’s slightly disingenuous	0
this activity is not taking advantage of people in a moment of great weakness	this activity is, in fact, taking a very unfair advantage of people in a moment of great weakness	1
You don’t pay an interest rate	this activity is not taking advantage of people in a moment of great weakness	0
The interest rate varies by the amount of the charge for the credit but also the time over which you repay it	You don’t pay an interest rate	0
Only a desperate person would agree to pay the sort of exorbitant interest rates that are applied by the people JL represents	this activity is, in fact, taking a very unfair advantage of people in a moment of great weakness	0
if you borrow some money from me, and you pay it back very quickly, the interest rate will be much higher than if you pay it back over a long period	The interest rate varies by the amount of the charge for the credit but also the time over which you repay it	0
JL's industry doesn’t want to pull the wool over people’s eyes.	it is xxx about JL's industry that leads him to want to pull the wool over people’s eyes	2
it’s been pointed out that borrowing money can have disadvantages, as well as advantages	JL's industry wants to comply with the regulations that others have determined. Not just in the UK, but in the whole of the EU	0
JL's industry should simply be ethical	JL's industry should not need to be wrapped up in red tape	0
JL's industry wants to comply with the regulations that others have determined. Not just in the UK, but in the whole of the EU	JL's industry doesn’t want to pull the wool over people’s eyes.	0
consumers should have all the information that they need	JL's industry doesn’t want to pull the wool over people’s eyes.	0
it’s been pointed out that borrowing money can have disadvantages, as well as advantages	that’s what they get	0
the underlying state of our society is highly, highly unequal.	the problem is that’s been the policy for the last three decades, to encourage huge amounts of borrowing to keep the economy going	0
the economy is in such a terrible state that in order to expand the economy, and get us out of this crisis, we have to encourage people to borrow.	that has to be the case	0
the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.	sometimes taking out credit can also help you not be dependent.	1
sometimes taking out credit can also help you not be dependent.	saving is morally good and can lead you to not be dependent	1
all debt is not immoral.	the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.	2
SR would never dream of saying that	all debt is not immoral.	2
much debt is incredibly valuable.	SR would never dream of saying that	0
much debt is incredibly valuable.	debt that actually goes to something that’s productive, and actually helps, is to be encouraged. 	0
They want voters who feel artificially rich	They don’t want to stop it	0
voters who feel artificially rich will probably vote for the incumbent	They want voters who feel artificially rich	0
they think that the only way they can win the hearts and minds of the demos [0:40:06], which has not been true economically, is to buy us off with a sub-prime mortgage and a cheap sofa.	it’s so insulting	0
They don’t want to stop it	when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, they do xxx	2
they want voters	They don’t want to stop it	0
it’s so insulting	if we’re going to discuss morality, we have to discuss the immorality of political leaders.	0
It was their avoidance of being democrats and trying to win us politically	if we’re going to discuss morality, we have to discuss the immorality of political leaders.	0
First witness made a very nuanced case	this is quite a tricky discussion	0
he half did	First witness didn’t overdo it on making a virtue of savings	1
he didn't half did	he half did	1
where First witness and CF kind of wanted to talk about economic policy they would have agreed on a lot of things	MB could see First witness and CF kind of veering	0
First witness made a very nuanced case	by artificially suppressing the price of money savers were being penalised, rather than people who’ve been improvident perhaps	2
First witness's not here to demonize debt	First witness made a very practical case about what’s happened if you’ve got savings	0
nobody’s blaming the poor	the big underlying moral problem with a debt-based free market economy is that when it goes bad, as it does tend to do, it’s always the poor that gets the blame	1
that’s a big moral problem	the big underlying moral problem with a debt-based free market economy is that when it goes bad, as it does tend to do, it’s always the poor that gets the blame	2
it’s derived again from the tendency towards bail-outs.	It is a moral problem.	0
it’s the poor who suffer	the big underlying moral problem with a debt-based free market economy is that when it goes bad, as it does tend to do, it’s always the poor that gets the blame	2
it’s derived again from the tendency towards bail-outs.	the reason banks take excessive risk is that they don’t pay the price for that risk-taking, because of the government guarantee	0
the reason banks take excessive risk is that they don’t pay the price for that risk-taking, because of the government guarantee	the cost of bank borrowing doesn’t rise as the bank gets riskier	0
underneath that, in small print, it becomes absolutely clear that you’ll be paying all sorts of charges	then very, very quickly you’ll be lured into paying a very large charge	0
MT's got all the information there in front of him	that is not irresponsible	0
The consumer credit industry is very highly regulated	that is not irresponsible	0
underneath that, in small print, it becomes absolutely clear that you’ll be paying all sorts of charges	it’s not responsible to encourage people to mis-read something like that	0
The consumer credit industry is very highly regulated	The regulations have been over-hauled three times in the last decade	0
It may be that it’s a perfectly decent product	JW is not sure about the ad.	0
culture follows economics	the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity	0
People are no more stupid now than they were 150 years ago	the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity	0
they’re less stupid	People are no more stupid now than they were 150 years ago	0
It’s been created by a sense of impunity, of invulnerability	the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity	0
that was a political strategy, a way of covering things up	people who took the sub-prime mortgages were the beneficiaries – and now the sufferers – of a policy	0
When you think about it now, CF finds it frustrating when she's trying to talk to people about the real state the economy is in	everything can just carry on	1
all that you need is a kind of credit based consumer thing	everything can just carry on	0
you do actually want to say, “Money doesn’t grow on trees.”	people have / do not have to have that	2
It’s not necessarily a moral good	there’s nothing necessarily positive about saving	0
It can be a way of demonstrating independence	It’s not necessarily a moral good	0
it is better to delay consumption in order to acquire something that you then have outright, rather than necessarily take out a debt	there is something wrong with people saying, “I want to go on holiday and I'm going to take out a loan for it. And I think I can pay that back.”	0
interest rates are at xxx in this country and indeed across the Eurozone	if you were a Martian, and you descended and looked at what’s going on at the moment, the first thing you would say is that the lenders are being under-rewarded, not that the borrowers are being fleeced.	0
the lenders are actually the banks, that are at the pinnacle of our society	if you were a Martian, and you descended and looked at what’s going on at the moment, the first thing you would say is that the lenders are being under-rewarded, not that the borrowers are being fleeced.	1
the lenders are actually the banks, that are at the pinnacle of our society	the debts that are owed now, by us as a country, even if not individually, are a result of the fact that the banks have got off Scot free	0
There is absolute impunity for lenders at that level	the debts that are owed now, by us as a country, even if not individually, are a result of the fact that the banks have got off Scot free	0
the banks are the lenders	the lenders are actually the banks, that are at the pinnacle of our society	2
there are lots of other people who are lenders too	the banks are the lenders	1
everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on	there are lots of other people who are lenders too	0
there’s been 100 billion pounds transfer from savers to borrowers	if ND's going to raise his banner for anybody who’s doing badly in this situation, he should have raised it for savers, in the first instance	0
it was quite old legislation	the government, in 2001, announced a review of the Consumer Credit Act 1974	0
the government, in 2001, announced a review of the Consumer Credit Act 1974	That led to new regulations in 2004, new regulations in 2006,	0
the government, in 2001, announced a review of the Consumer Credit Act 1974	they had to be over-hauled because xxx	2
That led to new regulations in 2004, new regulations in 2006,	these aspects have been looked at in huge detail in the last 10 years by government, by consumer groups, by the industry, by academics	0
It raises living standards	That seems to be beneficial	0
credit raises living standards	JL doesn’t buy that at all	0
it allows them to fund today’s purchases out of their future income	It’s beneficial to people	0
if I want a washing machine, I have to go to the launderette every week at the moment and spend several pounds in the launderette	That seems to be beneficial	0
It raises living standards	this idea of usury has been fiddled over the years	0
this idea of usury has been fiddled over the years	we had money lenders from one religious persuasion unable to lend to their own persuasion, but happily would lend to those of another religious persuasion	0
the system seems to be very, very heavily weighted against them.	savers need saving because xxx	2
A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.	the system seems to be very, very heavily weighted against them.	0
And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them	We reckon something like 100 billion pounds has been transferred from savers to borrowers.	0
this is not purely an economic issue	this is in SR's view, purely an economic issue / SR thinks there’s a moral dimension to it	2
there’s a massive moral issue as well	this is not purely an economic issue	0
It used to be, when SR was younger, when his parents and grandparents were around, that saving was the moral thing to do	it all changed when xxx	2
You wanted to provide for yourself	It used to be, when SR was younger, when his parents and grandparents were around, that saving was the moral thing to do	0
You didn’t want to be a burden on the state	You wanted to provide for yourself	0
Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do	savers have lost out	0
it’s a good idea, in a free society, to free people if they do get into terrible debt	bankruptcy is xxx	2
one of the problems we’re facing now is the fact that organisations, and indeed people who require debt, that what we’re doing is rolling everything over	We are not facing the problem at all	0
We’re pretending the problem isn’t there	We are not facing the problem at all	0
We’re pretending the problem isn’t there	all that happens is it’s getting much, much worse	0
in the developed world that wasn’t making enough money	It didn’t flow into those industrial activities	0
CF went to a lot of conferences, with a lot of policy people, who said, “We are living in a new era, the knowledge economy. We don’t have to produce anything anymore. Guess what? I mean, we can...”	It’s not that CF wants to let people off the hook	0
it was like living on thin air	every intellectual, left and right, everybody went along with it	0
this was compensation for the fact that actually there was sluggish, slow, productive growth, that was then sold somehow as, “Well yes, but everything’s okay because we’ll fuel a consumer cross talking [0:38:41].”	every intellectual, left and right, everybody went along with it	0
that form of capitalism wasn’t generating sufficient surpluses	Claire’s absolutely right about that	0
It didn’t flow into those industrial activities	xxx is where the money flowed	2
one that ought to, at least to some extent, be resurrected	he was rather flattering about the virtue of putting off making buying decisions until you can actually afford it, which is a very old-fashioned virtue	0
they're not absolutely right	they're absolutely right	1
JW is a Marxist	they're not absolutely right	0
it’s quite striking that all three witnesses, coming from very different positions, put their finger on that	three of the witnesses, coming from what MP took to be different political positions, did arrive at the point that there has been an intervention by government which is at the heart of the problem	2
what has driven a great deal of the problems that we’ve got now is the need for capital to find new ways of making money	MT would adopt a more kind of quasi Marxist position	0
That would be the normality	if you put money into a building society, that would be on the basis that other people were taking the money out of the building society, to buy a house for example	0
many people are a mixture of the two	there are about six times more savers than borrowers	1
there are about six times more savers than borrowers	That would be the normality	1
people aren’t very good at understanding financial products	they're easily seduced into acting, in the short-term, in ways which aren’t very good for them in the long-term	0
the history of the financial services industry does not demonstrate that this is an industry with a deep commitment to exploiting those weaknesses	the history of the financial services industry demonstrates that this is an industry with a deep commitment to exploiting those weaknesses, in order to make a fast buck	1
people aren’t very good at understanding financial products	the history of the financial services industry demonstrates that this is an industry with a deep commitment to exploiting those weaknesses, in order to make a fast buck	0
There’s no discipline there	if you want the moral hazard, instead of kind of just going on about the bankers, there is a danger that if we just said we’d write off debt, that it actually isn’t very helpful for our side, for ordinary people, to actually have that	0
It is the case that some of the greatest examples of social progress over the years have come from well-off rich people, banks and so on, investing productively	there’s a danger when you kind of say, “The poor are the ones who suffer. The rich are the bad guys.”	0
the problem is that the only thing the banks have done is kind of consumer credit	They should actually be taking more risk and giving more money out	0
there is this sort of sense amongst a lot of young people, who just think, “I want that, so I’ll have that now. Thank you.”	if you want the moral hazard, instead of kind of just going on about the bankers, there is a danger that if we just said we’d write off debt, that it actually isn’t very helpful for our side, for ordinary people, to actually have that	0
There’s no discipline there	In some ways you need that discipline, to be a saver, to think, “I won’t get into debt”	0
If you want the economy to run smoothly, you have to incentivise certain types of behaviour.	In some ways you need that discipline, to be a saver, to think, “I won’t get into debt”	0
If you want the economy to run smoothly, you have to incentivise certain types of behaviour.	in South Korea, in terms of how South Korean grew, it did incentivise saving, at certain times, by certain economic policies	0
the problem is that the only thing the banks have done is kind of consumer credit	What they should have been doing, what they could be doing, and what they haven’t got the nerve to do, is not loaning enough	0
It was a state mechanism to compensate for that, that we have this	whatever about papering over the cracks of inequality, it certainly was papering over the weakness of the productive economy	0
Simply	xxx is how we deal with the fact that so many people now do seem to assume that they can have something for nothing	2
we have to change the nature of the financial system and the economy	Simply	2
as things exist at the moment, it isn’t a matter of me deciding that I want a million different things, and I'm going to really have to go out and seek a loan	we have to regulate it	0
I get loans pushed on me all the time	as things exist at the moment, it isn’t a matter of me deciding that I want a million different things, and I'm going to really have to go out and seek a loan	0
They have absolutely very little choice except to take the terms that are being offered to them	JL should be worried that he's taking advantage of people when they are really in no position to negotiate	0
that is totally untrue	They have absolutely very little choice except to take the terms that are being offered to them	1
JL's customers all have bank accounts	What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans	0
What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans	they are choosing to borrow small amounts of money for short periods of time	0
they don’t have the security of future income that they did have before the credit crisis	they are choosing to borrow small amounts of money for short periods of time	0
they are choosing to borrow small amounts of money for short periods of time	that is totally untrue	0
it shouldn't be stigmatised to get into debt at all	SR is shying away from stigma	0
we need both debt and savings	it shouldn't be stigmatised to get into debt at all	0
the problem is that many people, either knowingly or because credit cards were being thrust at them, have taken on debts they can’t possibly hope to pay	it shouldn't be stigmatised to get into debt at all	0
it's not a very important thing to do	SR didn’t mean to say that, if it came across as that, at all	0
household debt is about £55,000	we are getting to the point where debt is simply going out of control	0
it's not a very important thing to do	it’s / it's not a very important thing to do	2
we are getting to the point where debt is simply going out of control	SR didn’t mean to say that, if it came across as that, at all	0
xxx is the nature of the conversation in the marketing departments	these companies, in their marketing departments, sit down and say to themselves, “When we’re advertising our products, we should make sure that consumers really, really, really understand what they’re getting in for”?  / they sit down and think, “How can we get customers to buy our products, by putting in the shop window the most generous possible figures in the hope that they won’t understand that that’s just an offer to lure them in”?	2
the main conversation is, “How do we do compliant adverts?”	xxx is the nature of the conversation in the marketing departments	2
In the marketing department	the main conversation is, “How do we do compliant adverts?”	2
credit advertising is highly regulated	the main conversation is, “How do we do compliant adverts?”	0
credit advertising is highly regulated	if you get it slightly wrong you cause yourself a major problem, and you have the Office of Fair Trading on your back straight away, as is happening now with some leaders	0
everyone, from the ancients to kind of most world religions, see thrift and prudence as virtues because xxx	debt is morally neutral	1
thrift and prudence are virtues	everyone, from the ancients to kind of most world religions, see thrift and prudence as virtues because xxx	2
thrift and prudence are not virtues	thrift and prudence are virtues	1
thrift and prudence are virtues	if they're virtues, that implies that the opposite of thrift and prudence is immoral	0
it is simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate	it is a reasonable thing for the state to intervene in those cases	0
the knowledge is bounded	it is a reasonable thing for the state to intervene in those cases	0
It’s only since the state intervened that people have been uninterested in which bank they put their money in	it is a reasonable thing for the state to intervene in those cases	1
In the old days of early capitalism, bankers were famously prudent people	It’s only since the state intervened that people have been uninterested in which bank they put their money in	0
bankers went to great lengths to advertise how prudent they were	In the old days of early capitalism, bankers were famously prudent people	0
This stopped not because of the big bang, which liberalised banking, which is what everybody thinks	In the old days of early capitalism, bankers were famously prudent people	0
they are lenders	it’s difficult for savers to take the high moral ground	0
there should be both savers and borrowers, naturally	if they're lenders, that implies there are borrowers	2
a lot of listeners will be thinking, “What is the point of being prudent? There’s no reward for it whatsoever.”	that’s a distinction that we’ve somehow lost	0
a lot of listeners will be thinking, “What is the point of being prudent? There’s no reward for it whatsoever.”	Michael Portillo should lend Michael Buerk a fiver	0
there are about six times more savers than borrowers	It may be that it’s a perfectly decent product	3
People are no more stupid now than they were 150 years ago	they’re less stupid	3
we don’t allow them to say things which are misleading	what the Jubilee Debt Campaign says is that this isn’t simply a matter of individual morality	3
A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.	that has to be the case	3
many people are a mixture of the two	it is simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate	3
there's no morality in that	JL's industry doesn’t want to pull the wool over people’s eyes.	3
xxx is who suffers most from the lack of moral hazard, the perceived lack of moral hazard	debt is morally neutral	3
they are vulnerable	JW is a Marxist	3
the system seems to be very, very heavily weighted against them.	xxx is where the money flowed	3
the system seems to be very, very heavily weighted against them.	one of the reasons people aren’t thrifty in Britain is because they benefit from all sorts of guarantees	3
They should actually be taking more risk and giving more money out	the reason that so many people have defaulted on their mortgages is a result of tens of thousands of random decisions by individuals?	3
it is simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate	bankruptcy is xxx	3
not all debt is bad	all debt is not immoral.	3
The regulations have been over-hauled three times in the last decade	people should not have to pay their debts	3
