t1	t2	type
It doesn't presuppose a God	that presupposes a God, or at least a recording angel to see our misdeeds when we commit them.	1
what it requires is that at the top of an organisation, there are angels in a certain sense	It doesn't presuppose a God	0
angels are very difficult to select, but it has to start at the top	what it requires is that at the top of an organisation, there are angels in a certain sense	0
There is lots of research been done to how cultures are being changed; it’s very difficult, but one things is very clear: if there is something rotten at the top, there is no hope for reform at the bottom	angels are very difficult to select, but it has to start at the top	0
the investment banks because the global economy is big. If you want to cut the investment banking industry down to size, slash the global economy – it’s not a terribly great idea.	Barclay's is an institution that can't carry on.	1
You take someone like Bob Diamond, in other industries he would have been sent off for two years to run branch banking so he knew more about it, before becoming a group Chief Executive.	Investment banks historically haven’t invested in training their management, and that’s a real problem.	0
investment banks have high complexity	Investment Banks are just too dangerous now as environments.	0
we’re seeing this with the Barclays example	bosses don’t really know what’s going on	0
the very existence of these institutions which have so much power	we’re seeing this with the Barclays example	0
there’s a lack of investment in management training	Investment banks historically haven’t invested in training their management, and that’s a real problem.	2
that helps perpetuate a very nasty culture within some of the banks	there’s a lack of investment in management training	0
if you listen both to Government spokespeople and the Prime Minister himself plus a lot of the media, you would think that all of the troubled families that they’re talking about are in a lot of trouble.	we’ve got ourselves into a complete mess in defining who troubled families are	0
they are on the edges or actually committing crime	there are families that are in trouble	0
there’s parents with mental health problems who have lost their ability to care for their children	there are two other brackets that I would bring within the troubled family scenario	0
they’ve never had it	The third category would be the families who really have just lost their ability to parent for their children	0
The third category would be the families who really have just lost their ability to parent for their children	they need help getting back on track	0
it’s right to tackle the problem of troubled families	it is / is not right in its strategy for tackling it	2
we’ve got ourselves into a complete mess in defining who troubled families are	the Government is / is not right in its definition of the problem	2
There are a lot of criminal activities	if you listen both to Government spokespeople and the Prime Minister himself plus a lot of the media, you would think that all of the troubled families that they’re talking about are in a lot of trouble.	0
we’ve got ourselves into a complete mess in defining who troubled families are	Helen would take, and Family Action, a much broader view about who troubled families actually are	0
there are families that are in trouble	Helen would take, and Family Action, a much broader view about who troubled families actually are	0
it’s compulsion	It’s not incentives	0
it’s requirement	It’s not incentives	0
we are just providing the work that people want to do	incentives and compulsions are irrelevant.	0
the desire to work is innate	incentives and compulsions are irrelevant.	0
It’s creative	the desire to work is innate	0
It’s not incentives	incentives are irrelevant	1
the desire to work is innate	people would require the social context in which work happens	0
they enjoy that	the desire to work is innate	2
they want the relationships that go with work	people would require the social context in which work happens	0
JB doesn't know whether it is innate or not	the desire to work is innate	2
JB's no idea whether it’s innate	JB doesn't know whether it is innate or not	2
it is not	the desire to work is innate	1
we have a huge problem with unemployment	No parent in the family is in work	0
there are 5 million people on the waiting list for social housing	Family lives in overcrowded housing	0
that’s sometimes related not being in work	the household has a low income	0
the household has a low income	the family cannot afford a number of food and clothing items	0
if child doesn’t go to school, if it’s truanting, it gets into crime, it doesn’t do well at school, it doesn’t achieve, it doesn’t get a job, and so on	poverty is the cause of multiple disadvantage/ poverty is the result of multiple disadvantage	2
These things lead to poverty	Then that leads to poverty, and not to mention family breakdown	2
These things lead to poverty	poverty is the result of social breakdown, not the cause	0
that is what the Government’s trying to get hold of	if child doesn’t go to school, if it’s truanting, it gets into crime, it doesn’t do well at school, it doesn’t achieve, it doesn’t get a job, and so on	2
that’s coming down as a cohort effect	No parent in the family is in work	0
we do not have got a lot to apologize for	NL thinks / does not think we have got a lot to apologize for	2
It very much depends on the specific incident you are talking about and which side are you going to go on?	we do not have got a lot to apologize for	0
Kenya was a brutal war,	the government has acknowledged that they were ill treated in court	0
NL thinks / does not think we have got a lot to apologize for	NL thinks xxx	2
Kenya was a brutal war,	the violence that the Mau Mau perpetrated against settlers and particularly loyal Africans xxx	0
abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people	one of the big initiatives that Romin's looking at, is the troubled families initiative; this idea that this hardcore of really difficult families that we need to look at	0
abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people	Romin is overstating Romin's case, and at the same time treating young people as though they won’t cope with living in a garret, bit of poverty but I’ll get by	1
abolishing housing benefit for under 25s will lead to staying with your mates	abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people	2
I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	by hitching society’s wellbeing to free market Capitalism we’ve made a pact with the devil we can’t get out of	0
people are being incentivised to take huge amounts of risks, with my money.	There’s all sorts of things to be said for Capitalism, but Capitalism is also a dangerous thing	0
It can’t be shamed into good behaviour, or even punished into good behaviour.	corporations have no souls to damn and no bodies to kick.	0
I’m talking about the essential shell of a company that it is actually essentially amoral. It’s not a person is it, in the sense that you and I are. It doesn’t have a conscience; it can’t be shamed. that morality is bound to affect the way people behave who work for it	it is inevitable that the essential immorality of business will infect the way individuals behave who work for it	2
they’re going to try and serve its purposes	I’m talking about the essential shell of a company that it is actually essentially amoral. It’s not a person is it, in the sense that you and I are. It doesn’t have a conscience; it can’t be shamed. that morality is bound to affect the way people behave who work for it	0
the way in which our politicians defer to it and so forth, that’s the nature of the problem, it’s not the problem of business per se.	there is a problem with the way in which, specifically the City of London, has become so large in our economy, out of all proportion to the other things.	0
it very much depends which side you take it,	moral justice lies xxx when we look back at our imperial past	2
you are on the side of the nationalist movements which replaced the British Empire	it very much depends which side you take it,	0
there is nothing wrong with what she’s doing	If Ruth's not wholly opposed to it, she finds xxx so objectionable that Louise Casey’s offering	2
What is wrong with what she is doing is that she is presenting that tiny minority of troubled families as typical of the poor	there is nothing wrong with what she’s doing	1
the problem of social justice is these 120,000 families	what we need to do to deal with poverty is to deal with problem families	0
What we need to do to deal with poverty is to do something about the 2 million children who live in poverty	what we need to do to deal with poverty is to deal with problem families	1
It’s what Ruth would think if Ruth lived next door	where they are also a problem to those who live around them, it would be a good idea to intervene robustly	0
she is trying to do something about children- the whole scheme is trying to do that	What we need to do to deal with poverty is to do something about the 2 million children who live in poverty	1
it is not a numbers game	What we need to do to deal with poverty is to do something about the 2 million children who live in poverty	1
Ruth has an objection to an intervention on the basis of people being poor, as opposed to an intervention on the basis of children genuinely being at risk of neglect or harm	morally,Ruth has / has not any objection to this intervention	2
where they are also a problem to those who live around them, it would be a good idea to intervene robustly	Ruth has an objection to an intervention on the basis of people being poor, as opposed to an intervention on the basis of children genuinely being at risk of neglect or harm	1
we’re rather over inclined - and this is also a moral issue – to focus on the anti social behaviour of the poor, rather than the antisocial behaviour of the rich: the money laundering, the rate fixing, the tax evasion	where they are also a problem to those who live around them, it would be a good idea to intervene robustly	1
Investment banks have to become environments where the risk, all the risk, falls on the people within the institutions.	When cars were made safer, initially what happened what drivers just drove more dangerously because cars are very individualistic environments. Someone suggested that the only thing you could do was put a six inch nail in the steering wheel, pointing out at the driver – isn’t that what we have to do with investment banks?	0
someone will always find a way around a rule.	I think in order to change investment banks you have to actually focus on not just specific rules, which in the introduction was described as ‘box ticking’,	0
You have to enforce a culture that makes people think broadly about ethics; that has to come from both outside and inside.	I think in order to change investment banks you have to actually focus on not just specific rules, which in the introduction was described as ‘box ticking’,	0
The outside impetus is the equivalent of your spike in the steering wheel, and I think that’s necessary.	You have to enforce a culture that makes people think broadly about ethics; that has to come from both outside and inside.	0
I think there needs to be a broad based ethical obligation on board,	I think in order to change investment banks you have to actually focus on not just specific rules, which in the introduction was described as ‘box ticking’,	0
so that you can go after them in the same way that in sectors that are really important to people’s lives, like water or nuclear power, there’s criminal liability on company directors.	I think there needs to be a broad based ethical obligation on board,	0
I think in order to change investment banks you have to actually focus on not just specific rules, which in the introduction was described as ‘box ticking’,	Investment banks have to become environments where the risk, all the risk, falls on the people within the institutions.	0
it's not innate	we have to bribe people	0
it's not innate	we have to starve people	0
it's not innate	people can be tempted out of work	0
If you’re going to work very hard for 8 hours a day, 5 days a week and you’re going to make only £1 more than you would have made on benefits the urge to get a job is not as strong as it would be if you’d otherwise be penniless	people can be tempted out of work	0
And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.	both sides of the transaction suffer as a result of ignoring moral hazard	0
a country can even say, “We’re going to go bankrupt. It’s humiliating. We’ll do it. We’ll start again. We’ll grow	you start again with some very strict rules and a stigma.	0
In general, society does	xxx is who suffers most from the lack of moral hazard, the perceived lack of moral hazard	2
society benefits / suffers	In general, society does	2
both sides of the transaction suffer as a result of ignoring moral hazard	society benefits / suffers	2
you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard.”	And if you suppress it, then in fact you're in a situation where the wealth that you look like you're generating is fool’s gold, not real wealth at all.	1
bankruptcy used to be shameful	you can be in a situation where you say, “We will let you write off your debts, without incurring moral hazard.”	0
Otherwise you’ve got slavery.	there is something in it	0
if you get into debt, and you can never get out of it, that’s slavery	Otherwise you’ve got slavery.	0
they're in debt	it’s almost as though people won’t take account of the fact they’ve got absolutely no money	0
They manage risk	I think investment banking is basically necessary.	0
If you didn’t have investment banking, you’d have to recreate it.	I think investment banking is basically necessary.	0
yes you can have a different structure for the industry, but you end up back with investment banks.	I think investment banking is basically necessary.	0
Many people would raise their eyebrows at the idea that investment banks are successful in terms of managing risks.	They manage risk	1
Maybe in terms of managing risks to people who work in investment banks, not so much for the rest of us. 	Many people would raise their eyebrows at the idea that investment banks are successful in terms of managing risks.	0
if the integrated investment banks can’t actually manage their activities on a sensible ethical basis	clearly there may have to be some structural change	0
JL's not financing lifestyles that people can't afford	JL's actually financing lifestyles that people can’t actually afford	1
What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure	JL's not financing lifestyles that people can't afford	0
JL's actually financing lifestyles that people can’t actually afford	JL is actually financing consumer spending, as opposed to investment	0
you’ve got 14.2 million people who are self-employed, lots of people working shifts, working part-time, relying on commissions and bonuses.	What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure	0
Their monthly incomes vary enormously	What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure	0
their core bills don’t	what JL's doing is providing small loans, for short periods of time, to help them smooth out their family income	0
there are families with problems	the idea of ‘the’ problem family is a useful invention that’s been used again and again to police the poor, and to place the blame for social problems on individuals	0
Before this recession, and forget whether Cameron is motivated by cuts or not, there was an ever increasingly welfare dependency	a lot of young people sort of, had a sense of entitlement, which wasn't very healthy	0
That’s not good	young people should go out and get something from the world, contribute something to the world. Instead of saying “Why can’t I get a well paid job? Why can’t I get a house?”	0
they should really be angry with their government for not addressing the underlying social policy issues	they shouldn’t be angry with young people who are making use of the welfare state	0
that’s fair enough	what we need is more houses	0
Claire wants to encourage a society that treats people as grown ups; that allows them to grow up	eighteen plus're kind of overgrown children	1
it sort of goes back to the hypothetical couple living with their parents that Cameron spoke about in his speech on Monday. This couple who will say to Romin that I’m very angry that Romin sees these other people	That’s not good	1
that’s overstating it	If we don’t give more benefits, more welfare, we’re going to end up with homeless young people everywhere, destitution and so on	1
what we need is more houses	If we don’t give more benefits, more welfare, we’re going to end up with homeless young people everywhere, destitution and so on	2
they’re not going to do it on their own	ND must stop attacking them and actually suggest that we want the rich to do something productive	1
they will only do it if they are regulated	they’re not going to do it on their own	0
it’s part of an industrial strategy for them to do that	they will only do it if they are regulated	0
Ruth doesn't like the definition of troubled families, or anything much about all of this	Ruth quarrelled with the statistics	0
this is a moral programme	Melanie doesn’t want to get bogged down into a discussion about a figure	0
it wants to get people in those households into school, into work, out of crime. Changing the patterns of, sometimes, a lifetime	The aim of the Government is very clear; looking at family households that are multiply disadvantaged	0
the figures are not a moral issue	the figures are a moral issue	1
there is a very important moral issue here,	the figures are a moral issue	0
the Government is deliberately using a figure which is about multiple deprivation	there is a very important moral issue here,	0
to do that, and to present the problem of poverty as one of dysfunctional families who are antisocial and need to have their behaviour changed, is itself a moral issue	there is a very important moral issue here,	0
and it’s fundamentally immoral	to do that, and to present the problem of poverty as one of dysfunctional families who are antisocial and need to have their behaviour changed, is itself a moral issue	0
there are families that are so troubled that family intervention programmes are appropriate.	there are chaotic families that place an unreasonable burden on the State	2
this figure of 120,000 which has already been floated several times in this discussion, is entirely spurious	Ruth doesn't like the definition of troubled families, or anything much about all of this	0
It is not a family where children are on the threshold of being taken away	this figure of 120,000 which has already been floated several times in this discussion, is entirely spurious	0
It is a very, very rough estimate of the number of families in 2004 which had 5 of 7 deprivations: no one is in work; overcrowded housing; parents have no qualifications; mother has mental health problems; at least one parent has long standing limiting illness, disability or infirmity; the family has a low income; and the family cannot afford a number of food and clothing items	this figure of 120,000 which has already been floated several times in this discussion, is entirely spurious	0
It is a very, very rough estimate of the number of families in 2004 which had 5 of 7 deprivations: no one is in work; overcrowded housing; parents have no qualifications; mother has mental health problems; at least one parent has long standing limiting illness, disability or infirmity; the family has a low income; and the family cannot afford a number of food and clothing items	they are not social work clients	0
The aim of the Government is very clear; looking at family households that are multiply disadvantaged	It is a very, very rough estimate of the number of families in 2004 which had 5 of 7 deprivations: no one is in work; overcrowded housing; parents have no qualifications; mother has mental health problems; at least one parent has long standing limiting illness, disability or infirmity; the family has a low income; and the family cannot afford a number of food and clothing items	0
AM is not in the same way	we are quite hung up about this	1
people do not think that	there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism	1
MT didn't learn that in school, 40 years ago	For decades, our children have been taught nothing other than the Empire was uniquely dreadful	1
MT was told it was generally speaking a good thing	MT didn't learn that in school, 40 years ago	0
That's a caricature	people do not think that	0
For decades, our children have been taught nothing other than the Empire was uniquely dreadful	there's a streak that says, it was a pretty balanced account, there's nothing wrong with colonialism	1
MT was told it was generally speaking a good thing	there should be a window of apology and getting back to common sense.	0
Under the national curriculum, we were told the Empire was bad.	there should be a window of apology and getting back to common sense.	1
It’s a bit like saying wearing a jumper is moral	that’s a little odd	0
It’s a virtue	thrift is a perfectly sensible thing to do	0
the value of your savings is likely to be periodically inflated away	There’s no point saving money in Britain, unless you're already quite rich	0
the government guarantees your welfare in old age	you don’t need it, anyway	0
it depends on the environment	one of the reasons people aren’t thrifty in Britain is because they benefit from all sorts of guarantees	0
one of the groups of people who were kind of interested in thrift and prudence were early productive capitalists, who established the capitalist system	There’s no point saving money in Britain, unless you're already quite rich	1
since the rise of consumer capitalism we’ve had a very, very different kind of message	one of the groups of people who were kind of interested in thrift and prudence were early productive capitalists, who established the capitalist system	0
buy now, pay later, is the kind of core morality of consumer capitalism	the fundamental message of consumer capitalism is one which says, “Forget deferred gratification. Forget endeavour. Buy it now.”	2
decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality	and therefore the only way forward was for Britain to withdraw	0
The key point about the British Empire is not necessarily that brutality does not happen but when it does	when news first came of the horrific massacre of Mau Mau prisoners in Kenya. Wide swathes of British public opinion and the media and the Prime Minister and most of the Cabinet were horrified and disgusted then, not now, then	0
The key point about the British Empire is not necessarily that brutality does not happen but when it does	you often have public inquiries and open investigations	0
you often have public inquiries and open investigations	decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality	0
By the 50s, the Empire is going	they are effectively trying to hand over to some kind of stable rule	0
in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.	relative to many other countries surely it's an exemplar of inclusivity	0
whilst the African Americans are socially segregated from their American cousins, they are economically integrated	MP raises an interesting point	0
the extent to which an African American is prepared to stand by the flag is far in advance than any black British individual	that hints to the kind of schism around citizenship that we have here in the United Kingdom	0
relative to many other countries surely it's an exemplar of inclusivity	Britain is non-inclusive	1
whilst the African Americans are socially segregated from their American cousins, they are economically integrated	in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.	1
It's not a case of just legality	that hints to the kind of schism around citizenship that we have here in the United Kingdom	0
No absolutely not.	The system itself is not intrinsically corrupt; it’s just a few bad apples who can be dealt with by tweaking the rules.	1
it seems to me that the City of London is now very widely – I mean, people are very, very angry about what’s happened. They’re very widely seen as almost a conspiracy against the common good in as much as there is a huge amount of greed	You are just scapegoating an entire bunch of people, the vast majority of whom one has no reason to believe do anything other than behave with honesty and integrity.	1
ordinary people are feeling very ripped off by what’s happened in the City.	it seems to me that the City of London is now very widely – I mean, people are very, very angry about what’s happened. They’re very widely seen as almost a conspiracy against the common good in as much as there is a huge amount of greed	0
No, no, no. I think there are good and bad. I wasn’t talking about the people; I’m talking about systemic.	you have just demonised an entire group of people.	1
It’s not about bad apples, that always seems to be a bit of a distraction that you just focus on a few individuals.	No absolutely not.	0
It is a safety net	the welfare state, as it is, is a safety net / is a trap	2
JB likens it to a mouse trap which has a rather stale piece of cheese in it	it is also very much a trap	0
it’s not particularly attractive	JB likens it to a mouse trap which has a rather stale piece of cheese in it	0
That’s how JB regards it	JB likens it to a mouse trap which has a rather stale piece of cheese in it	2
there’s certainly an argument to look at re-introducing a contributory principle back in to welfare. Something like the French system where if you lose your job you get 70% of your previous wage for a limited period	xxx is the sort of conditionality; or sort of duties RS would expect people on benefit to undertake, in return for that support	2
People move, in a life course, move in and out of work	there’s certainly an argument to look at re-introducing a contributory principle back in to welfare. Something like the French system where if you lose your job you get 70% of your previous wage for a limited period	0
the same is true for hospitals and schools and journalism	No that’s not possible, but that’s not something we should try to aim at	0
I think it’s not going to help change the culture	in banking we’ve a totally different situation	0
that is that when discussing moral issues, and they have sworn an oath at some point, that the oath can help give them an extra motivation to stay.	There is an advantage to oaths that we should realise, that we should recognise	0
that really is outrageous	it’s particularly morally repugnant for the State to tell us who should and shouldn’t have children	2
these families, and the problems they face, have many causes, complicated, springing from social structures, cultural attitudes, all sorts of things	this emphasis on the individual moral shortcomings of parents is overly simplistic and doesn’t help	0
A kind of parental determinism emerges that’s overly fatalistic as well	this emphasis on the individual moral shortcomings of parents is overly simplistic and doesn’t help	0
A kind of parental determinism emerges that’s overly fatalistic as well	it’s particularly morally repugnant for the State to tell us who should and shouldn’t have children	0
the young guy wasn’t turning up to work on time	the young guy’d lost his job at Tesco	0
This guy’s just a scrounger, he needs a kick up the backside to get going	the young guy was smoking a lot of spliff	0
If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy	we need to think about, how we have a more paternalist system for people like that	0
We’d still be much better off	If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy	2
there has not been a transfer	there’s been a transfer	1
what’s happened is, there’s been a huge and permanent increase in the number of people who are unemployed	there has not been a transfer	0
we were just looking at the claimant count, a very narrow measure of unemployment	We kidded ourselves during the last decade that we’d solved the problem of unemployment,	0
If you look at the wider measure of all the people on benefits: the people on incapacity benefit, the people on income support as well. Actually, even all the way through the years of the debt fuelled boom we had about 5 million people effectively workless	We need to think much harder about how we can make the benefit system, the whole welfare state much more activating, how we can help to get those people into work	0
the young guy was smoking a lot of spliff	the young guy wasn’t turning up to work on time	0
we need to think about, how we have a more paternalist system for people like that	This guy’s just a scrounger, he needs a kick up the backside to get going	1
