t1	t2	type
lots of people are doing part time work	There are a number of people competing for work	0
they can’t get full time work	lots of people are doing part time work	0
that’s a crucial difference	That’s the difference	2
the idea behind it was that it would be for periods of sporadic unemployment	the point about a welfare state is it was set up as a safety net, during a time of near full employment	0
There are a number of people competing for work	‘The Daily Telegraph’ pointed out there are 23 people chasing every job in this country	0
‘The Daily Telegraph’ pointed out there are 23 people chasing every job in this country	The reason that the number of people on benefits has soared, is simply because the jobs that once existed disappeared	0
Housing benefit has not a debilitating ?effect	housing benefit, particularly when paid out very young to so many young people, has a debilitating-	1
Owen has answered Anne's question	Owen seems to be finding every which way not to answer Anne's very sensible question	1
Anne's misunderstood the nature of housing benefit	Anne's completely misunderstood the point of housing benefit	2
Owen hasn't answered Anne's question	Owen has answered Anne's question	1
Owen's problem is that Owen will not say whether Owen finds it inherently undesirable or not, or that it leads to a situation which is very bad because it traps people	Owen hasn't answered Anne's question	0
it must be the day job	Anne's misunderstood the nature of housing benefit	0
housing benefit, particularly when paid out very young to so many young people, has a debilitating-	that it is a problem	2
At this current time, the current context without social housing, with 5 million people on social housing waiting lists, people - of course they should claim housing benefit, if they are unable to pay what are extortionate rents. Particularly in places like London	that it is a problem	1
that’s not their fault	At this current time, the current context without social housing, with 5 million people on social housing waiting lists, people - of course they should claim housing benefit, if they are unable to pay what are extortionate rents. Particularly in places like London	0
It doesn’t go to the tenant	Housing benefit has not a debilitating ?effect	0
Owen seems to be finding every which way not to answer Anne's very sensible question	Anne's completely misunderstood the point of housing benefit	1
Owen is the champion of the working class	Owen's problem is that Owen will not say whether Owen finds it inherently undesirable or not, or that it leads to a situation which is very bad because it traps people	0
there are lots of ways in which you can hopefully allow the market to create jobs	there’s the rub	0
there are lots of ways in which you can hopefully allow the market to create jobs	If the market doesn’t, for whatever reason never mind who’s fault it is, then the next thing that the government should do, is to provide jobs for these people to do	0
it’s because of government interference	If the market doesn’t, for whatever reason it’s because of the failure of Capitalism	1
If people want to work, if it’s their nature to work, and if the work was there, then they’d go and do it	that undermines the whole argument that you make about incentives	1
there’s the rub	the fundamental duty we have as a society towards the unemployed is to make sure there are enough jobs for them to take the opportunity to go and work	0
There’s historically been some resistance from ordinary working class people to actually taking state benefits	since this government’s come to power they’ve tried to exploit tensions in working class Britain between the working poor and the unemployed; between the non-disabled and the disabled; between private sector workers and public sector workers	0
if you wanted to pay to work and to create a culture of work, it might be useful to have work in the first place, to have proper jobs at proper wages in the first place	the moral problem is that of how to provide incentives to get people off welfare, into work	1
that would be great	it would be wonderful if politicians could just snap their fingers and create millions of jobs	2
that majority doesn't include CL	that majority includes / does not include CL	1
there is very great danger here of stirring up resentment towards people who need welfare to keep house and home together	that majority doesn't include CL	0
that’s very dangerous to the solidarity, which civilization requires	there is very great danger here of stirring up resentment towards people who need welfare to keep house and home together	0
they’re not naturally lazy	people are naturally creative and industrious, and want to work	0
That worries CL very much	Cameron’s concerns resonate with perhaps the majority	1
people are naturally creative and industrious, and want to work	people are incentivised to remain unemployed	1
unemployment is a crime not a personal tragedy	it’s going back to the politics of the poor house	0
Nothing JB said implies that JB regards it as a crime	JB didn't say that	0
JB would want to abolish the welfare state altogether	If it were politically possible, JB would / would not want to abolish the welfare state altogether	2
JB would want to abolish the welfare state altogether	it’s going back to the politics of the poor house	0
unemployment is a state out of which everybody could get, if the government didn’t get in the way	xxx is how JB regards it	2
that’s an ‘Aunt Sally’	Clifford was swayed by James and Neil to discover that James and Neil weren’t saying that everyone was feckless, lazy scroungers	0
that’s an ‘Aunt Sally’	What is important at this point is that there has to be a serious discussion about the impact of welfarism	0
If you’re staying on your mates coach and all the rest of it, and you get a job, you want to prove that you’re going to not just kind of go “Oh well, it’s not that much money.” You’ll use it, that’s what you want.	What is important at this point is that there has to be a serious discussion about the impact of welfarism	0
Claire has an answer to Neil's complaint that the market in housing has seriously distorted the housing benefit	Claire has no answer to Neil's complaint that our market in housing has seriously distorted the housing benefit	1
Claire's a campaigner for more housing	Claire has an answer to Neil's complaint that the market in housing has seriously distorted the housing benefit	0
Claire wants more housing	Claire's argued that we should build over green belt	0
Claire's a campaigner for more housing	Claire's argued that we should build over green belt	0
there is a lack of recognition that there’s anything sapping away at the moral of young people in particular, who are dependent on the State.	that would not reduce the amount we spend on housing benefit	2
we should not talk about externalities, we should talk about internalities	The problem with compelling people to work, is that it suggests that the problem is that people do not wish to work	1
the argument that Anne was raising “Let’s not talk about externalities, let’s talk about internalities” as it were, misses the point	we should not talk about externalities, we should talk about internalities	1
it’s a way of transforming the moral issue from a lack of jobs, a lack of a provision, to an internal failure to do that	the argument that Anne was raising “Let’s not talk about externalities, let’s talk about internalities” as it were, misses the point	0
it’s a way of transforming the moral issue from a lack of jobs, a lack of a provision, to an internal failure to do that	there is an internal failure in some cases	1
there’s always a problem with any moral argument that says there is an innate desire to do things	some people have an innate desire, so called, to work harder than others	1
there’s always a problem with any moral argument that says there is an innate desire to do things	one of the jobs that the welfare system is quite reputably there to do, is to try and encourage the best of people, and to encourage the best that they can do	0
there’s always a problem with any moral argument that says there is an innate desire to do things	there is an internal failure in some cases	0
there are some things that are difficult; the housing market is one of them	one of the jobs that the welfare system is quite reputably there to do, is to try and encourage the best of people, and to encourage the best that they can do	0
one of the jobs that the welfare system is quite reputably there to do, is to try and encourage the best of people, and to encourage the best that they can do	you don’t get round everything about what you should about welfare dependency and welfarism by just saying “Well I’m sorry, but I can’t deliver the revolution tomorrow.”	0
If they’re going to be of working age, able bodied, and if they’re going to get benefits; they should not be allowed just to sit at home on benefits	What is vital is that people should be able to be compelled from the earliest possible stage to work	0
KM's not in this business	one thing KM may not be aware of is just how much benefits have been cut already by inflation	0
 that is not enough	What is vital is that people should be able to be compelled from the earliest possible stage to work	0
that would be a good way of incentivising work	we could turn our tax credits, which aren’t really tax credits in the UK, into something you only get paid if you’re working	0
we’ve thought too much, funnily, about the financial incentives to work, and not enough about the conditionality in the system	we ask people to do nothing in return for their benefits	0
these programs from other countries, they work	they are right about that	0
they really reduce unemployment	these programs from other countries, they work	0
In one of the US states that went the furthest in this in diverting people from being on welfare, they managed at one point to reduce the number of people on benefits by 90%	they really reduce unemployment	0
when it reduces by 90%- what Neil meant is that they were all in low paid, part time jobs	If that’s the kind of job system that Neil wants, it seems to be a deeply immoral way of dealing with the quest of work, and how people should look at work	0
One is to change the balance of or the generosity of out of work beneifts, maybe spend more on in work benefits like tax credits and so on	we could turn our tax credits, which aren’t really tax credits in the UK, into something you only get paid if you’re working	0
One is to change the balance of or the generosity of out of work beneifts, maybe spend more on in work benefits like tax credits and so on	there are two different ways of improving the incentives to work	0
when it reduces by 90%- what Neil meant is that they were all in low paid, part time jobs	This is a huge opportunity that we’ve barely begun to explore in the UK system	1
in a situation where you’re looking after kids. Out of pride, you don't say “Well I’m not going to take benefits and force my children to suffer as a consequence of my own stubbornness.” 	in a situation, rather than taking benefits, rather than giving a speech, what I should do is I’ll do anything. I’ll take any bits and jobs I’ll do anything because I’m not going to be dependent, either on my parents or on the State; I want to grow up, be independent. I don’t want to be beholden to the State. I don’t want to sit there passively, and I’ll take a low paid, part time job	1
There will be a government supplied safety net	we’re not going to get rid of the welfare state	0
these people don't exist	some people are not working because they can make a penny more from giving up their job and living at home	1
It’s so unnatural	these people don't exist	0
There will be a government supplied safety net	therefore [you are going to provide money to these people	0
therefore [you are going to provide money to these people	you must require them to work	0
it’s not a problem making a penny more	some people are not working because they can make a penny more from giving up their job and living at home	1
you say, “You get benefits on the basis that you work.”	In Wisconsin, when they made this requirement, and they gave a lot of help to people in terms of childcare A]; [in Wisconsin they had a reduction in welfare roles of up to 90%	0
it leads to a dependency which may in itself just not be a good way to live, or not be a good thing to pass on to your children.	there are incentives inherent in housing benefit, particularly when its begun at an early age	0
This is often a working benefit	in itself this is undesirable	1
The reason we have so many people claiming housing benefit is because there isn’t the social housing	last year 93% of new claimants were in a household in which somebody worked	0
we spend about £20 billion as a nation on housing benefit	in itself there is / is not a danger there	2
in itself this is undesirable	in itself there is / is not a danger there	2
This is often a working benefit	last year 93% of new claimants were in a household in which somebody worked	0
The reason we have so many people claiming housing benefit is because there isn’t the social housing	There’s 5 million people languishing on social housing waiting lists	0
Merthyr Tydfil, in Wales has one of the highest unemployment rates in the country	they should just get on the bus to Cardiff	0
we’ve seen millions of people claiming incapacity benefit, being dependent on benefits, young people have a sense of entitlement from the state, rather than a sense of self-reliance	the old idea of welfarism as a safety net, has changed	0
they don't have a sense of entitlement from the state rather than a sense of self-reliance	we’ve seen millions of people claiming incapacity benefit, being dependent on benefits, young people have a sense of entitlement from the state, rather than a sense of self-reliance	1
Over a million people, young people, without work, it has a scarring impact	youth unemployment is a blight on our nation	0
They’re far more likely as a result to be unemployed in later life	Over a million people, young people, without work, it has a scarring impact	0
it was revealed, that for every nine jobseekers in Cardiff there was only one vacancy	they should just get on the bus to Cardiff	1
they shouldn't resort to petty crime, rather than take benefits	people should do xxx in a place like Merthyr Tydfil	2
they should do xxx in order to look after their children	people should do xxx in a place like Merthyr Tydfil	2
youth unemployment is a blight on our nation	Royal Mail ran a scheme at Christmas, applying for seasonal work	0
they don't have a sense of entitlement from the state rather than a sense of self-reliance	they were overwhelmed with tens of thousands of young people, desperate for work	0
Claire's no evidence for Claire's assertions	we’ve seen millions of people claiming incapacity benefit, being dependent on benefits, young people have a sense of entitlement from the state, rather than a sense of self-reliance	1
there seemed to be a germ of a compassion about what James was saying	Clifford was more sympathetic to James	0
James and Neil’re not just welfare rangers, though they are welfare rangers	there seemed to be a germ of compassion about what Neil was saying	0
James and Neil’re not just welfare rangers, though they are welfare rangers	there seemed to be a germ of a compassion about what James was saying	0
James is pretty clear cut, has pretty clear arguments, whether you agreed with them or not	Clifford had quite an entertaining discussion with James	0
There is plenty of evidence to say that there is depression amongst the unemployed.	people who don’t work, who are unemployed, are depressed.	0
JB  wouldn’t use the word ‘moral’	People have a moral duty to work to support themselves	1
If one lot of people is going to give another lot of people money, that second lot of people should be willing to work, and should work.	JB  wouldn’t use the word ‘moral’	0
that’s part of the way God made people	there is a natural and normal desire to work	0
there is a natural and normal desire to work	people who don’t work, who are unemployed, are depressed.	0
James was blaming the system	James made this very clear – James wasn’t blaming individuals	0
the system, if it has an impact, has an impact	James was blaming the system	0
it is not the equivalent of calling people feckless and lazy to say that a lot of young people have become so dependent that they say `Why should I take that job? I don't want to get up that early.''	it is the equivalent of calling people feckless and lazy to say that a lot of young people today have become so dependent in a passive way on somebody else sorting things out for them, that they do say “Why should I take that job? I don’t want to get up that early.”	1
That is the real lived experience of ordinary working class people	we only saw riots last year with young people saying “Why shouldn’t I have this? Why shouldn’t I have that?”	0
there are too many people included in those categories	We can’t start dividing the population between the deserving and the undeserving	0
it’s an interesting thought experiment to say that the young could survive on their own, because they’ve got the get up and go, and we should let the witnesses at it, is worth considering	even if you incentivise people in those sort of way, the casualty can be the really innocent – the children	0
it’s these broader circumstances that we really need to get to the nub of	you don’t just start having children, without your other circumstances being taken into account	0
it is the knock down argument	witnesses don't have an answer to that	0
We can’t start dividing the population between the deserving and the undeserving	it is the knock down argument	0
it’s an interesting thought experiment to say that the young could survive on their own, because they’ve got the get up and go, and we should let the witnesses at it, is worth considering	it’s a very good point, Clifford’s just put Clifford's finger on it, about the fourth undeserving child or however many you want to put on the State’s payroll	0
you don’t just start having children, without your other circumstances being taken into account	it’s a very good point, Clifford’s just put Clifford's finger on it, about the fourth undeserving child or however many you want to put on the State’s payroll	0
it is / is not moral to ask people to work in a job that doesn’t really pay them that much more than being on benefits	there’s two questions here	2
if the welfare state did not exist and you became unemployed, and you rely on your friends and family to get by, and then someone comes along and offers you a job but it doesn’t give you more money than your family and friends are going. We would still expect you to take that job	it’s fair	0
nearly two million people t working tax credit, which means that they are in jobs which are so badly paid that they can’t survive, that they require benefits	this argument as benefits somehow taking people out of jobs, or disincentivising people simply doesn’t work	0
a high proportion of people are desperate to work, that work on such low wages that they have to have benefits in order to top them up	this argument as benefits somehow taking people out of jobs, or disincentivising people simply doesn’t work	0
It does work up to a point insofar that the introduction of tax credits did move some groups, particularly lone parents, that helped to get more of them into employment	this argument as benefits somehow taking people out of jobs, or disincentivising people simply doesn’t work	1
you don’t need to be working to claim it	child tax credit is just like a much more generous version of child benefit	0
that is fair	it is / is not moral to ask people to work in a job that doesn’t really pay them that much more than being on benefits	2
people do take those jobs	that argument is even stronger if the people you’re relying on are not your friends and family, but other people you don’t even know	1
nearly two million people t working tax credit, which means that they are in jobs which are so badly paid that they can’t survive, that they require benefits	people do take those jobs	0
One of the confusing things in Britain is that actually the overwhelming majority of what we call ‘tax credits’, about 30 of the £33bn a year we spend on them is actually spent on stuff that’s actually not at all linked to being in work	It does work up to a point insofar that the introduction of tax credits did move some groups, particularly lone parents, that helped to get more of them into employment	0
One of the confusing things in Britain is that actually the overwhelming majority of what we call ‘tax credits’, about 30 of the £33bn a year we spend on them is actually spent on stuff that’s actually not at all linked to being in work	child tax credit is just like a much more generous version of child benefit	0
you don’t need to be working to claim it	we’ve done a lot to improve work incentives financially	1
we haven’t actually done as much as we could have done	we’ve done a lot to improve work incentives financially	1
we haven’t actually done as much as we could have done	we could move some of that money around so it’s less for not working and more for going into work, and supporting those people who are trying hard on low wages, and who we want to see succeed	0
a housing crisis, billions wasted on housing benefit lining the pockets of wealthy landlords because we stopped building social housing	It’s due to a triple crisis	0
there’s certainly a point that welfare spending in this country is too high	Cameron has / has not a point	2
it’s to do with a bunch of lazy scroungers dribbling on their sofas watching reflections of themselves on Jeremy Kyle	there’s certainly a point that welfare spending in this country is too high	0
It’s due to a triple crisis	it’s to do with a bunch of lazy scroungers dribbling on their sofas watching reflections of themselves on Jeremy Kyle	1
we need to encourage young people to see a third way, an alternative to that	you got a choice of being mollycoddled at home by your mum and dad, or you demand that you’re sustained by the State	1
“Provide that for our young people”	we do not have the social circumstances to provide that for our young people.	2
It’s not beyond the imagination to imagine the young might get up and go and do something about this, other than kind of sit and wait to be handed something.	RS's kind of treating them as though they’re passive recipients of something	1
what we need to look at is we need to look at other ways of incentivising; making work pay. Looking at the barriers that exist for young people to get into work	xxx is how we encourage the young	2
Young people nowadays, you know who have just sat their GCSEs or just sat their A Levels, have far fewer opportunities than their parents generations.	what we need to look at is we need to look at other ways of incentivising; making work pay. Looking at the barriers that exist for young people to get into work	0
There’s no free education	Young people nowadays, you know who have just sat their GCSEs or just sat their A Levels, have far fewer opportunities than their parents generations.	0
that is a worthwhile ambition	The real question is to ask “What is the best welfare state we can make, in the real world?”	0
The real question is to ask “What is the best welfare state we can make, in the real world?”	xxx is what JB will do	2
there are lots of ways in which we can change our welfare state to make it better	that is a worthwhile ambition	0
there is such a lot of evidence that it does have a distorting effect	there is something distorting	0
there is no distorting effect	there is something distorting	1
there is a distorting effect on whether you’re prepared to go into training, whether you will go back in to the labour market; on what terms you’re prepared to take a job	there is something distorting	0
Anne misunderstands how housing benefit works	there is a distorting effect on whether you’re prepared to go into training, whether you will go back in to the labour market; on what terms you’re prepared to take a job	1
instead of wasting it lining the pockets of landlords it could be used to build housing which would stimulate the economy, create jobs, bring down the welfare bill, and bring down the social housing waiting lis	Owen wants to take housing benefit down	0
The problem isn’t lack of employment	Anne misunderstands how housing benefit works	0
the problem is they are often in low paid work	The problem isn’t lack of employment	0
when rents are soaring, they can’t afford to pay their rent.	the problem is they are often in low paid work	0
when rents are soaring, they can’t afford to pay their rent.	you can’t blame the people who are rationally taking housing benefit when they can’t afford to pay their rent	0
individuals are not  feckless and lazy	individuals are feckless and lazy	1
JB does not blame the people-	JB doesn't start from that position	0
JB blames the political system that has created a trap for these people	JB does not blame the people-	0
the current debate is about deflecting debate from those failures onto the supposed moral fecklessness of individuals	politicians are not taking a moral stance over welfare reform	0
welfarism has become an all consuming be all and end all for a significant minority of society	the problem is that welfarism has gone far beyond a safety net, or anything compassionate	0
welfarism has become an all consuming be all and end all for a significant minority of society	we actually encourage people to become dependent on the state	0
CF is interested in the demoralising impact of welfarism 	CF is not interested in Cameron making cuts	0
The welfare state that we have at the moment here lacks a sense of ‘just desert’	when people try to make a distinction between the deserving and the less deserving claimants, some people then kick up about it	0
you get certain ‘social goods’ which are greater than that	that’s not necessarily how the welfare state was ever intended to work, or the way it does work	0
I might not take back from the National Health Service or from the welfare state, the things that I put in, the money that I put in through my tax	you get certain ‘social goods’ which are greater than that	0
I want to live in a London that doesn’t have high levels of homelessness	I certainly get indirect effects; indirect goods.	0
I want to live in a London that doesn’t have high levels of crime	I certainly get indirect effects; indirect goods.	0
you put a pound in	it takes a very simple view	0
I certainly get indirect effects; indirect goods.	there are other things that the taxpayers get back from the welfare state.	0
Britain actually is quite unusual internationally	we should move towards a system which is more based on what you deserve	0
it’s moved the furthest away of any of the industrialised countries from a contributory system where what you’ve paid in is what you get out	Britain actually is quite unusual internationally	0
that’s what William Beveridge wanted when he was designing the welfare state	That was the way our system was supposed to work as well	0
William Beveridge thought about having this two-tier system	that’s what William Beveridge wanted when he was designing the welfare state	0
we never properly put that into operation	Britain is actually very unusual compared to other countries	0
it should be about a bit of both	the welfare state should be about what people need/what they deserve	2
In most other countries there’s something like an unemployment insurance	if you have become unemployed and you’ve paid in in the past, you’ll get a more generous rate of benefits than people who haven’t paid in	0
That is not the world we live in	an ideal world where politics was not a factor	2
people are not naturally work shy	JB didn’t say “Work shy”	0
people are not naturally work shy	JB's never referred to them being work shy	0
JB: did not take adversarial position towards the poor unfortunate people who’ve been trapped in the trap	the welfare state system is creating a whole class of work shy, people who are incentivised not to work	1
JB wants to get rid of the welfare state, the welfare system	JB: did not take adversarial position towards the poor unfortunate people who’ve been trapped in the trap	1
the welfare system is the problem	JB wants to get rid of the welfare state, the welfare system	0
KM didn’t ask JB that	JB didn't say he wants to get rid of the welfare state, the welfare system	0
In a sense he’s very similar to the abolition of the Board and Lodgings Allowance that Margaret Thatcher brought in at the end of the ‘80s, which obviously saw a huge spike in rough sleeping	it clearly shows that Cameron hasn’t learnt any lesson from the past	0
In a sense he’s very similar to the abolition of the Board and Lodgings Allowance that Margaret Thatcher brought in at the end of the ‘80s, which obviously saw a huge spike in rough sleeping	it’s not going to have the effect that Cameron believes that it will	0
it clearly shows that Cameron hasn’t learnt any lesson from the past	RS makes xxx of Mr Cameron’s point that paying young people to move out of their parents’ home doesn’t mean they’re independent, they’re just dependent on other people’s parents	2
that is not a particularly moral position to take	it is not moral when somebody is saying “I don’t want to move away from being dependent on other people for just any job; only a decent job with a very good wage, or an interesting job.”	2
this actually has a fine tradition elsewhere	It’s also not the case that the idea of independence from the State, and character building is confined to the English public school system	0
that is a moral position to take	that is not a particularly moral position to take	1
the idea that people should take any job at any wages, any conditions is an immoral position to take	that is a moral position to take	0
we are living in a country with a minimum wage	the idea that people should take any job at any wages, any conditions is an immoral position to take	1
people on minimum wage usually have benefits; are usually forced to take on benefits	the idea that people should take any job at any wages, any conditions is an immoral position to take	0
the State is already helping them	people on minimum wage usually have benefits; are usually forced to take on benefits	0
the State is subsidising employers who refuse to pay people decent wages	the State is already helping them	1
That’s the English public school version of morality	it builds your character	0
many people are working who get it	Kenyan cannot just do little policy bits to get Kenan off the argument	0
It’s also not the case that the idea of independence from the State, and character building is confined to the English public school system	That’s the English public school version of morality	1
if you took something like ‘welfare to work’ set up by a Democrat American president who simply thought that too many people in the underclass were getting trapped in a dependency that wasn’t good for them, wasn’t good for their children, he was also being too punitive	AM doesn't know what RS's solution would be if he didn’t go that way	2
‘welfare to work’ creates the opposite of a dependency on welfare state	if you took something like ‘welfare to work’ set up by a Democrat American president who simply thought that too many people in the underclass were getting trapped in a dependency that wasn’t good for them, wasn’t good for their children, he was also being too punitive	1
It creates a dependency on work	‘welfare to work’ creates the opposite of a dependency on welfare state	0
If it’s low paid. If it’s very poor conditions, if you have to drive, if you can’t look after your children, if it causes damage to your health; then it is	that is a not a bad thing	1
it's not only the right to a job that RS'd accept	it’s only the right to a job that RS’d accept	1
There are benefits to work, obviously self-esteem, aspiration, sort of intangible goods which individuals feel	it's not only the right to a job that RS'd accept	0
there is a minimum for any work, sort of the standards that we would perceive	there has to be a bottom line beyond which it turns into outright exploitation	0
We have a minimum wage	there has to be a bottom line beyond which it turns into outright exploitation	1
at no time before the welfare state, was there mass permanent unemployment	In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there	0
There is no natural condition of unemployment	only since the welfare state has there been permanent unemployment	0
